occupation,total_climbers,disabled_climbers,successful_climbs,solo_climbers,claimed_success,disputed_climbs
,30737,21,18170,23,35,42
Alpine guide,6282,6,2674,21,10,8
Physician,2360,0,578,3,2,1
Engineer,1628,0,549,2,0,3
Student,1074,1,401,3,1,0
Alpinist,907,20,414,6,4,4
Teacher,682,0,216,0,0,1
Attorney,612,2,203,1,0,2
Photographer,427,1,115,0,0,1
Alpine instructor,403,0,157,1,1,0
Mechanical engineer,389,0,105,1,0,0
Businessman,384,2,151,0,0,0
Carpenter,377,1,126,2,0,1
Electrician,372,0,113,3,0,0
Electrical engineer,369,0,111,0,0,1
Office worker,362,3,100,1,0,2
Civil engineer,361,0,108,0,0,2
Technician,354,0,102,0,0,0
Nurse,347,0,98,0,0,0
Architect,346,0,112,0,0,0
Firefighter,294,0,80,0,0,0
Cameraman,283,0,57,0,1,0
Geologist,267,0,73,0,0,1
Housewife,236,0,80,0,2,1
Journalist,226,0,53,0,0,1
Police officer,221,0,74,0,0,0
Accountant,218,0,72,0,0,0
Mechanic,213,0,49,0,0,1
Farmer,204,0,59,0,0,1
Economist,203,1,69,2,0,2
Retired,196,1,54,0,0,0
Banker,196,0,70,0,0,1
Dentist,194,0,60,0,0,0
Ski instructor,188,0,51,3,0,0
Physiotherapist,180,0,54,0,0,0
Professional alpinist,172,0,84,3,0,0
Electronics engineer,167,0,43,0,1,1
Computer programmer,167,0,43,1,0,0
University student,159,0,52,1,0,0
Computer engineer,158,0,53,0,0,0
Civil servant,153,0,48,0,0,0
Surgeon,150,0,29,0,0,0
Salesman,135,0,36,0,0,0
Manager,135,1,64,0,0,0
Physicist,132,0,33,0,0,1
Software engineer,121,0,48,0,0,0
Secretary,114,0,18,0,0,0
Alpine guide & ski instructor,114,0,30,1,0,1
Chemical engineer,113,0,32,0,0,0
Builder,109,0,40,0,0,1
Pharmacist,107,0,30,0,0,0
Film-maker,106,0,29,0,0,0
Clerk,106,0,20,0,0,0
Truck driver,105,0,32,0,0,0
Construction worker,104,0,35,0,0,0
Travel agent,103,0,32,0,0,0
Bank employee,102,0,20,0,0,0
Management consultant,101,0,35,0,0,0
Expedition leader,99,0,36,1,0,0
Construction engineer,99,0,31,0,0,0
High school teacher,96,0,25,0,0,0
Consultant,94,0,50,0,0,0
Shopkeeper,91,0,20,0,0,0
Medical student,89,0,19,0,0,0
Sports instructor,88,0,35,0,0,0
Biologist,88,0,25,0,0,0
Pilot,87,0,38,0,0,0
Gardener,82,1,28,0,2,0
Psychologist,81,0,28,0,0,0
Plumber,81,1,23,0,0,0
Veterinarian,80,0,29,0,0,0
Forester,79,0,21,0,0,0
Trekking guide,78,0,32,0,0,0
Business owner,78,2,30,0,0,0
Worker on tall buildings,76,0,13,0,0,0
Surveyor,75,0,18,0,0,0
School teacher,75,0,27,0,1,0
Chemist,75,0,18,0,0,0
Writer,72,0,17,2,0,0
Social worker,72,0,26,0,0,0
High-altitude porter,72,0,47,0,0,2
Restaurant owner,71,0,17,0,0,0
IT consultant,70,0,22,0,0,0
Real estate agent,68,0,22,0,0,0
Expedition organizer & leader,68,0,13,0,0,0
Factory worker,64,0,12,0,0,0
Computer operator,64,0,13,0,0,0
Company director,63,0,21,0,0,0
Tour operator,62,0,23,1,0,0
Employee,62,0,13,0,1,0
Electrical technician,61,0,17,0,0,0
Artist,61,0,11,0,0,0
Airline pilot,61,1,29,0,0,0
House painter,60,0,20,0,0,0
Physician (surgeon),59,0,15,0,0,0
Cook,59,0,8,0,0,0
Business consultant,59,0,26,0,0,0
Sports teacher,57,0,21,0,1,0
Building contractor,57,0,18,0,0,0
Primary school teacher,56,0,15,0,0,0
Metallurgical engineer,55,0,21,0,0,0
Construction company manager,55,0,22,0,0,0
Soldier,54,0,27,0,0,0
Sales manager,54,0,21,0,0,0
Physical education teacher,54,0,19,0,0,0
Driver,54,0,11,0,0,0
Retired engineer,53,0,18,0,0,0
Electronics technician,53,0,11,0,0,0
Financial advisor,52,0,21,0,0,0
Graphic designer,51,0,11,0,0,0
Army officer,51,0,17,0,0,0
UAE Armed Forces,50,0,12,0,0,0
Outdoor instructor,50,0,19,0,0,0
Entrepreneur,49,0,23,0,0,0
Unemployed,48,1,15,0,0,1
Tour guide,48,0,15,0,0,0
Self-employed,48,2,23,0,0,0
Marketing manager,48,0,15,0,0,0
Telecommunications engineer,47,0,13,0,0,0
Business manager,47,0,13,0,0,0
Economics student,45,0,12,0,0,0
Retired teacher,44,0,5,0,0,0
Printer,44,0,9,0,1,0
Investor,44,0,29,0,0,0
Professor,43,0,12,0,0,0
Outdoor activities instructor,43,0,15,0,0,0
Hotel manager,43,0,8,0,0,0
Government official,43,0,15,0,0,0
Computer scientist,43,0,13,0,0,1
Office clerk,41,0,19,0,0,0
Merchant,41,0,7,0,0,0
Investment banker,41,0,16,0,0,0
Construction company owner,41,0,13,0,0,0
Alpine rescuer,41,0,13,0,0,0
Orthopedic surgeon,40,0,12,0,0,0
University teacher,39,0,14,0,0,0
Property developer,39,0,18,0,0,0
Forestry engineer,39,0,16,0,0,0
Worker,38,0,7,0,0,0
Geophysicist,38,0,10,0,0,0
Bank clerk,38,0,7,0,0,0
Scientist,37,0,14,0,0,0
Hotel owner,37,0,15,0,0,0
Financial consultant,37,0,14,0,0,0
Alpine guide & photographer,37,0,9,1,0,0
Geographer,36,0,4,0,0,0
Researcher,35,0,13,0,0,0
IT specialist,35,0,20,0,0,0
Hotelier,35,0,14,0,0,0
Chef,35,0,8,0,0,0
Business executive,35,0,13,0,0,0
Author,35,0,6,0,0,0
Army Captain,35,0,5,0,0,0
Alpine guide & instructor,35,0,17,1,0,0
Photojournalist,34,0,21,0,0,0
IT engineer,34,0,17,0,0,0
Computer consultant,34,0,13,0,0,0
Paramedic,33,0,10,0,0,0
IT manager,33,0,8,0,0,0
Computer technician,33,0,8,0,0,0
University professor,32,0,5,0,0,0
Postman,32,0,7,0,0,0
Mining engineer,32,0,12,0,0,0
Fitness instructor,32,0,15,0,0,0
Bricklayer,32,0,9,0,0,0
Auto mechanic,32,0,6,0,0,0
Sports shop manager,31,0,10,0,0,0
Armed forces of India,31,0,26,0,0,0
Taxi driver,30,0,7,0,0,0
Sports shop owner,30,0,9,0,0,0
Mathematician,30,0,12,0,0,0
"Major, Indian Army",30,0,12,0,0,0
Locksmith,30,0,4,0,0,0
Engineering student,30,0,3,0,0,0
Cardiologist,30,0,11,0,0,0
Retired businessman,29,0,11,0,0,0
Restaurant manager,29,0,7,0,0,0
Furniture maker,29,0,9,0,0,1
"Captain, Indian Army",29,0,14,0,0,1
Butcher,29,0,6,0,0,0
British army (retired),29,0,25,0,0,0
Project manager,28,0,13,0,0,1
Policeman,28,0,5,0,0,0
Motivational speaker,28,0,11,0,0,0
Industrial engineer,28,0,9,0,0,0
"Indo-Tibet Border Police, ITBP",28,0,11,0,0,0
Business,28,0,16,0,0,0
Trekking guide & alpinist,27,0,8,0,0,0
Television cameraman,27,0,3,0,0,0
Real estate developer,27,0,15,0,0,0
Park ranger,27,0,7,0,0,0
House builder,27,0,9,0,0,0
Designer,27,0,12,0,0,0
Contractor,27,0,16,0,0,0
City government official,27,0,2,0,0,0
Anesthesiologist,27,0,7,0,0,0
Toolmaker,26,0,9,0,0,0
Software developer,26,0,8,0,0,0
Petroleum engineer,26,0,9,0,0,0
Painter,26,0,3,0,0,0
Indian Army,26,0,18,0,0,0
ITBP personnel,26,0,8,0,0,3
Government service,26,0,5,0,0,0
Environmental engineer,26,0,10,0,0,0
Artisan,26,0,7,0,0,0
Adventurer,26,2,8,0,0,0
Pediatrician,25,0,8,0,0,0
Managing director of Imagine Nepal,25,0,12,0,0,0
Insurance agent,25,0,6,0,0,0
Finance,25,0,13,0,0,0
Baker,25,0,8,0,0,0
Aeronautical engineer,25,0,7,0,0,0
Tax consultant,24,0,2,0,0,0
Service,24,0,3,0,0,0
Insurance salesman,24,0,5,0,1,0
Financial manager,24,0,6,0,0,0
Expedition organizer,24,0,5,0,0,0
Trader,23,0,9,0,0,0
Sportsman,23,0,7,0,0,0
Shop owner,23,0,3,0,0,0
Professional skier,23,0,7,0,0,0
Miner,23,0,7,0,0,0
Marketing consultant,23,0,14,0,0,0
Manager & alpine guide for 7 Summits Club,23,0,19,0,0,0
Joiner,23,0,4,0,0,0
Film producer,23,0,6,0,0,0
Bus driver,23,0,8,0,0,0
Bookkeeper,23,0,6,0,0,1
Apiarist & alpinist,23,0,3,0,0,0
Tour leader,22,0,10,0,0,0
Skiing instructor,22,0,7,0,0,0
Outdoor educator,22,0,5,0,0,0
Mason,22,0,6,0,0,0
Laboratory technician,22,0,4,0,0,0
Film director,22,0,1,0,0,0
Emergency physician,22,0,5,0,0,0
Draftsman,22,0,7,0,0,0
Dental surgeon,22,0,10,0,0,0
Company owner,22,0,9,0,0,0
Cartographer,22,0,6,1,0,0
Car salesman,22,0,3,0,0,0
Aerospace engineer,22,0,6,0,0,0
Trekking & alpine guide,21,0,11,1,0,0
Sales,21,0,11,0,0,0
Rescuer,21,0,0,0,0,0
Physician & alpinist,21,0,10,0,0,0
Optician,21,0,4,0,0,0
Nutritionist,21,0,8,0,0,0
Musician,21,0,12,0,0,0
Metal worker,21,0,11,0,0,0
Medical assistant,21,0,2,0,0,0
Information technology consultant,21,0,9,1,0,0
Editor,21,0,4,0,0,0
Construction manager,21,0,11,0,0,0
Computer analyst,21,0,2,0,0,0
British army,21,0,12,0,0,0
Army Sergeant,21,0,2,0,1,0
Alpine guide & journalist,21,0,7,0,0,0
Agricultural engineer,21,0,3,0,0,0
Structural engineer,20,0,6,0,0,0
Solicitor,20,0,3,0,0,0
Retired civil servant,20,0,8,0,0,0
Reporter,20,0,4,0,0,0
Lecturer,20,0,5,0,0,0
Law student,20,0,7,0,0,0
Insurance broker,20,0,6,0,0,0
Elementary school teacher,20,0,10,0,0,0
Director,20,0,7,0,0,0
Company manager,20,0,10,0,0,0
Company employee,20,0,4,0,0,0
Cinematographer,20,0,2,0,0,0
Athlete,20,2,8,1,0,0
Air traffic controller,20,0,8,0,0,0
Administrator,20,0,4,0,0,0
University teacher for rescue work,19,0,13,0,0,0
Secondary school teacher,19,0,3,0,0,0
Physiologist,19,0,4,0,0,0
Physical therapist,19,0,6,0,0,0
Nuclear engineer,19,0,8,0,0,1
Neurosurgeon,19,0,2,0,0,0
Freelancer,19,0,12,0,0,0
Cabinetmaker,19,0,7,0,0,0
Artist (painter),19,0,0,0,0,0
Army JCO (junior commissioned officer),19,0,9,0,0,0
Alpine guide & cameraman,19,0,6,0,0,1
Telephone engineer,18,0,1,0,0,0
Sports student,18,0,2,0,1,0
Royal Netherlands Marines,18,0,0,0,0,0
Police constable,18,0,5,0,0,0
Optometrist,18,0,8,0,0,0
Mountaineering equipment salesman,18,0,5,0,0,0
Home builder,18,0,4,0,0,0
Geology student,18,0,3,0,0,0
Forest ranger,18,0,4,0,0,0
Financial analyst,18,0,9,0,0,0
Educator,18,0,4,0,0,0
Asian Trekking executive,18,0,7,0,0,0
Army sergeant,18,0,10,0,0,0
Architectural technician,18,0,5,0,0,0
Archeologist,18,0,0,0,0,0
Psychiatrist,17,0,4,0,0,0
Photographer & writer,17,0,6,1,0,0
National park ranger,17,0,6,0,0,0
Municipal official,17,0,3,0,0,0
Military officer,17,0,5,0,0,0
Managing director of Himalayan Ski & Treks,17,0,14,0,0,0
Car mechanic,17,0,7,0,0,0
"CEO at Brave Explorers, UK (trekking agency)",17,0,4,0,0,0
Army Major,17,0,2,0,0,0
Translator,16,0,2,0,0,0
Technical engineer,16,0,4,0,0,0
"Student, medical",16,0,4,0,0,0
Student of physical education,16,0,2,0,0,0
Programmer,16,0,8,1,0,0
Physics student,16,0,5,0,0,0
Mountain hut manager,16,0,6,1,0,0
Marine engineer,16,0,8,0,0,0
Management,16,2,5,0,0,0
Horticulturist,16,0,4,0,0,0
Government employee,16,0,6,0,0,0
Factory manager,16,0,4,0,0,0
External affairs consultant,16,0,9,0,0,0
Anesthetist,16,0,0,0,0,0
Veterinary surgeon,15,0,4,0,0,0
Telephone technician,15,0,5,0,0,0
Teacher & alpine guide,15,0,8,0,0,0
Systems analyst,15,0,6,0,0,0
Stockbroker,15,0,6,0,0,0
Sporting goods salesman,15,0,7,0,0,0
Retired attorney,15,0,2,0,0,0
Quality control programmer,15,0,7,0,0,0
Professor of physical education,15,0,4,0,0,0
Professional athlete,15,0,6,0,0,0
Printing company executive,15,0,6,0,0,0
Police inspector,15,0,3,0,0,0
Outdoor pursuits instructor,15,1,1,0,0,0
High school student,15,0,6,0,0,0
"Havildar, Indian Army",15,0,6,0,0,0
Guide,15,0,9,0,0,0
Environmental consultant,15,0,6,0,0,0
Dental technician,15,0,2,0,0,0
Building engineer,15,0,6,0,0,0
Barman,15,0,2,0,0,0
Army high mountain group member,15,0,4,0,0,0
Alpinist & motivational speaker,15,0,5,0,0,0
Alpine guide & writer,15,0,8,0,0,0
Alpine guide & carpenter,15,0,7,0,0,0
Agronomist,15,1,6,0,0,0
Actor,15,0,4,0,0,0
Travel agency owner,14,0,4,0,0,0
Serving in Indian army,14,0,8,0,0,0
Sculptor,14,0,5,0,0,0
Real estate,14,0,3,0,0,0
Radiologist,14,0,5,0,0,0
Professional photographer,14,0,1,0,0,0
Pensioner,14,0,5,0,0,0
Ophthalmologist,14,0,4,0,0,0
Newspaper reporter,14,0,2,0,0,0
Metallurgist,14,0,2,1,0,0
Mechanical technician,14,0,1,0,0,0
Mechanical engineering student,14,0,6,0,0,0
Local government official,14,0,4,0,0,0
Landscape gardener,14,0,0,0,0,0
Judge,14,0,3,0,0,0
Geological engineer,14,0,6,0,0,0
General manager,14,0,8,0,0,0
Fund manager,14,0,10,0,0,0
Ecologist,14,0,5,0,0,0
College student,14,0,3,0,2,0
Chinese Mountaineering Association staff member,14,0,9,0,0,0
Bookseller,14,0,4,0,0,0
Army corporal,14,0,8,0,0,0
Alpinist & speaker,14,0,5,0,0,0
Airplane pilot,14,0,7,0,0,0
Welder,13,0,1,0,0,0
Television producer,13,0,2,0,0,0
Tax accountant,13,0,4,0,0,0
TV producer,13,0,5,0,0,0
Ski patroller,13,0,6,0,0,0
Shop manager,13,0,1,0,0,0
Restauranteur,13,0,2,0,0,0
Real estate dealer,13,0,6,0,0,0
Property manager,13,0,5,0,0,0
Portfolio manager,13,0,7,0,0,0
Physical education student,13,0,5,0,0,0
Notary,13,0,1,0,0,0
Investment manager,13,0,3,0,0,0
Interior decorator,13,0,3,0,0,0
ITBP constable,13,0,0,0,0,0
Hyundai office worker,13,0,5,0,0,0
Human resources manager,13,0,3,0,0,0
Geodetist,13,0,4,0,0,0
Forestry student,13,0,5,1,0,0
Director of marketing,13,0,8,0,0,0
Chartered accountant,13,0,6,0,0,0
Business student,13,0,2,0,0,0
Biochemist,13,0,4,0,0,0
Bar owner,13,0,6,0,0,0
Bank manager,13,0,5,0,0,0
Alpine guide trainee,13,0,2,0,0,0
Alpine Guide,13,0,6,0,0,0
Aircraft engineer,13,0,3,0,0,0
Writer & alpinist,12,0,6,0,0,0
Trading company manager,12,0,5,0,0,0
Tourist guide,12,0,4,0,1,0
Telecommunications technician,12,0,1,0,0,0
Teacher of outdoor activities,12,0,7,0,0,0
Ski instructor & alpine guide,12,0,4,0,0,0
Shop assistant,12,0,2,0,0,0
Schoolmaster,12,0,4,0,0,0
Roofer,12,0,4,0,0,0
Retired computer engineer,12,0,2,0,0,0
Retired civil engineer,12,0,2,0,0,0
Office manager,12,0,3,0,0,0
Neurologist,12,0,2,0,0,0
Mathematics teacher,12,0,3,0,0,0
Managing director of a travel company,12,0,6,0,0,0
Manager of construction company,12,0,8,0,0,0
Graphic artist,12,0,1,0,0,0
Freelance writer,12,0,4,0,0,0
Customs officer,12,0,3,0,0,0
Constable in BSF headquarters,12,0,9,0,0,0
Building maintenance foreman,12,0,3,0,0,0
Biology student,12,0,3,0,0,0
Bank staff member,12,0,3,0,0,0
Automobile engineer,12,0,5,0,0,0
Army captain,12,0,4,0,0,0
Alpinist & trekking guide,12,0,1,0,0,0
Alpine leader & guide,12,0,3,0,0,0
Alpine instructor & guide,12,0,4,0,0,0
Alpine & skiing guide,12,0,3,0,0,0
Trekking company owner,11,0,5,0,0,0
Trekking agent & alpinist,11,0,5,0,0,0
Travel agency employee,11,0,1,0,0,0
Train driver,11,0,4,0,0,0
Town planner,11,0,7,0,0,0
Tour guide & Spanish teacher,11,0,7,0,0,0
Television technician,11,0,4,0,0,0
Systems engineer,11,0,4,0,0,0
Skiing & alpine guide,11,0,6,0,0,0
Serving in Indian Army,11,0,11,0,0,0
Retired banker,11,0,3,0,0,0
Research scientist,11,0,4,0,0,0
Police subinspector,11,0,3,0,0,0
Plastic surgeon,11,0,5,0,0,0
Physics researcher,11,0,7,0,0,0
Paragliding instructor,11,0,2,0,0,0
NSG member,11,0,10,0,0,0
Mountain rescue expert,11,0,4,0,0,0
Mountain Marks trekking company owner,11,0,6,0,0,0
Marketing director,11,1,5,0,0,0
Managing director of Furtenbach Adventures,11,0,5,0,0,0
Life Insurance Cooperation (insurer for government),11,0,5,0,0,0
Instructor at l'Ecole Naitonale de Ski et d' Alpinisme,11,0,0,0,0,0
IT director,11,0,3,0,0,0
HM Forces,11,0,5,0,0,0
Graduate student,11,0,4,0,0,1
Geography student,11,0,3,0,0,0
Financial expert,11,0,6,0,0,0
Finance manager,11,0,5,0,0,0
Finance director,11,0,4,0,0,0
Factory owner,11,0,2,0,0,0
Engineering manager,11,0,4,0,0,0
Craftsman,11,0,3,0,0,0
Construction company director,11,0,2,0,0,0
Computer salesman,11,0,3,0,0,0
Coffee shop owner,11,0,3,0,0,0
Chiropractor,11,0,6,0,0,0
Cardio-thoracic surgeon,11,0,1,0,0,0
CEO,11,0,9,0,0,0
Building company manager,11,0,4,0,0,0
Architecture student,11,0,1,0,0,0
Architectural engineer,11,0,2,0,0,0
Alpinist & writer,11,0,3,0,0,0
Alpine & skiing instructor,11,0,3,0,0,0
Alpine & ski guide,11,0,8,0,0,0
Woodworker,10,0,2,0,0,0
Urologist,10,0,4,0,0,0
Tour company owner,10,0,5,1,0,0
Teacher of physical education,10,0,4,0,0,0
"Student, university",10,0,1,0,0,0
Student politician (United Communist Party of Nepal Maoist),10,0,7,0,0,0
Retired electro-technician,10,0,0,0,0,0
Retired accountant,10,0,4,0,0,0
Research chemist,10,0,2,0,0,0
Public official,10,0,3,0,0,0
Postal carrier,10,0,4,0,0,0
Photographer & alpine guide,10,0,3,0,0,0
Osteopath,10,0,5,0,0,0
Mountain rescuer,10,0,2,0,0,0
Mathematics student,10,0,3,0,0,0
Marketing,10,0,7,0,0,0
"Instructor, Himalayan Mountaineering Institute",10,0,3,0,0,0
Information technology,10,0,3,0,0,0
"Income tax department, government service of India",10,0,3,0,0,0
"ITBP, Head Constable",10,0,1,0,0,0
ITBP subinspector,10,0,4,0,0,0
IT project manager,10,0,3,0,0,0
Home improvement contractor,10,0,9,0,0,0
Guide & capitalist,10,0,5,0,0,0
Geoscientist,10,0,5,0,0,0
Flight attendant,10,0,1,0,0,0
Financier,10,0,5,0,0,0
Financial planner,10,0,6,0,0,0
Financial controller,10,0,4,0,0,0
English teacher,10,0,3,0,0,0
Education student,10,0,4,0,0,0
Construction materials salesman,10,0,2,0,0,0
Computer systems engineer,10,0,5,0,0,0
Computer company manager,10,0,4,0,0,0
Communications engineer,10,0,5,0,0,0
Car dealer,10,0,2,0,0,0
Businesswoman,10,0,4,0,0,0
Building manager,10,0,4,0,0,0
Army alpine instructor,10,0,3,0,0,0
Army NCO (non-commissioned officer),10,0,5,0,0,0
Anthropologist,10,0,0,0,0,0
Alpine guide & travel agent,10,0,5,0,0,0
Alpine guide & expedition organizer,10,0,1,0,0,0
Alpine guide & alpinist,10,0,6,0,0,1
Alpine & ski instructor in Military School of Aosta,10,0,2,0,0,0
Advocate,10,0,5,0,0,0
Yoga teacher,9,0,2,0,1,0
Trekking agent,9,0,2,0,0,0
Travel guide,9,0,4,0,0,0
Therapist,9,0,3,0,0,0
Television journalist,9,0,2,0,0,0
TV cameraman,9,0,3,0,0,0
Supermarket manager,9,0,2,0,0,0
"Student, civil engineering",9,0,1,0,0,0
Stone mason,9,0,4,0,0,0
Sociology student,9,0,2,0,0,0
Skier,9,0,5,0,0,0
Self-employed (make-up artist),9,0,7,0,0,0
Retired architect,9,0,3,0,0,0
Research engineer,9,0,1,0,0,0
Railway official,9,0,3,0,0,0
Railway engine driver,9,0,2,0,0,1
Quantity surveyor,9,0,5,0,0,0
"Professor, ski-alpinist & Professional ski instructor",9,0,3,0,0,0
Product manager,9,0,1,0,0,0
Private investor,9,0,2,0,0,0
Physician (general practitioner),9,0,2,0,0,0
Physician (cardiologist),9,0,3,0,0,0
Physician (anesthesiologist),9,0,2,0,0,0
Physician & alpine guide,9,0,7,0,0,0
Personal trainer,9,0,3,0,0,0
Patent attorney,9,0,1,0,0,0
Oral surgeon,9,0,3,0,0,0
Naval architect,9,0,3,0,0,0
Mountain hutkeeper,9,0,3,0,0,0
Medical technician,9,0,1,0,0,0
Mathematics professor,9,0,0,0,0,0
Male nurse,9,0,4,0,0,0
Makalu Extreme Expeditions,9,0,7,0,0,0
Machinist,9,0,5,0,0,0
Lithographer,9,0,1,0,0,0
Law professor,9,0,1,0,0,0
Junior commissioned army officer,9,0,3,0,0,0
Insurance company employee,9,0,2,0,0,0
Helicopter pilot,9,0,2,0,0,0
Geologist & alpine guide,9,0,3,0,0,0
General contractor,9,0,3,0,0,0
Forester & alpinist,9,0,0,0,0,0
Expedition manager,9,0,3,0,0,0
Executive,9,0,4,0,0,0
Engineer & alpine guide,9,0,6,0,0,0
Diver,9,0,3,0,0,0
Director of TAG Nepal Treks,9,0,7,0,0,0
Construction supervisor,9,0,5,0,0,0
Construction company executive,9,0,2,0,0,0
Commercial director,9,0,6,0,0,0
Close protection officer,9,0,5,0,0,0
Certified public accountant,9,0,1,0,0,0
Cafe owner,9,0,3,0,0,0
Book publisher,9,0,2,0,0,0
Bartender,9,0,1,0,0,0
Barrister,9,0,1,0,0,0
Bank official,9,0,1,0,0,0
Bank officer,9,0,2,0,0,0
Automotive engineer,9,0,1,0,0,0
Author & alpinist,9,0,4,0,0,0
Auditor,9,0,2,0,0,0
Attorney & alpinist,9,0,4,0,0,0
Artist & alpine guide,9,0,3,0,0,0
Army adjutant,9,0,2,0,0,0
Alpine school instructor,9,0,0,0,0,0
Alpine guide & travel guide,9,0,4,0,0,0
Alpine guide & ski patroller,9,0,3,0,0,0
Air Force sergeant,9,0,2,0,0,0
Agriculture student,9,0,3,0,0,0
Worker in motorcar factory,8,0,2,0,0,1
Web designer,8,0,6,0,0,1
Veterinary doctor,8,0,2,0,0,0
Upholsterer,8,0,1,0,0,0
Trainer,8,0,4,0,0,0
Television editor,8,0,0,0,0,0
"Teacher, high school",8,0,1,0,0,0
Tax inspector,8,0,2,0,0,0
Student & alpine guide,8,0,2,0,0,0
Staff member of China-Tibet Mountaineering Association,8,0,4,0,0,0
Sports shop salesman,8,0,3,0,0,0
Shoe salesman,8,0,3,0,0,0
Search and rescue team member,8,0,1,0,0,0
Scientific researcher,8,0,1,0,0,0
Sales representative,8,0,2,0,0,0
Sales clerk in sporting-goods shop,8,0,8,0,0,0
Runner & skier,8,0,1,2,0,0
River guide,8,0,1,0,0,0
Retired office worker,8,0,1,0,0,0
Retired nurse,8,0,2,0,0,0
Retired electrical engineer,8,0,1,0,0,0
Retired bank employee,8,0,2,0,0,0
Registered nurse,8,0,2,0,0,0
Realtor,8,0,2,0,0,0
Professional cameraman,8,0,3,0,0,0
Professional alpinist & alpine guide,8,0,5,0,0,0
Printing company president,8,0,2,0,0,0
Police mountain rescue team member,8,0,2,0,0,0
Police instructor,8,0,2,0,0,0
Physician (high altitude specialist),8,0,4,0,0,0
Peasant,8,0,1,0,0,0
Owner-founder of alpine guiding company,8,0,0,0,0,0
Owner of motor sports company,8,0,1,0,0,0
Officer,8,0,1,0,0,0
Mountaineering equipment shop owner,8,0,0,0,0,0
Mountain lodge manager,8,0,3,0,0,0
Motorcar engineer,8,0,5,0,0,0
Metallurgical technician,8,0,0,0,0,0
Member of mountain rescue unit,8,0,1,0,0,0
Member of mountain rescue service,8,0,0,0,0,0
Masseur,8,0,2,0,0,0
Managing director,8,0,5,0,0,0
"Lt. Colonel, British Military Attache to Nepal",8,0,2,0,0,0
Logistics manager,8,0,4,0,0,0
Librarian,8,0,2,0,0,0
Interior designer & restaurant owner,8,0,5,0,0,0
Insurance company staff member,8,0,2,0,0,0
Information technology manager,8,0,4,0,0,0
Indian border police,8,0,3,0,0,0
IT expert,8,0,4,0,0,0
Hydraulic engineer,8,0,1,0,0,0
History student,8,0,3,0,0,0
Historian,8,0,3,0,0,1
Gynecologist,8,0,2,0,0,0
Government servant,8,0,4,0,0,0
Geodesic engineer,8,0,3,0,0,0
General manager of manufacturing company,8,0,1,0,0,0
Fisherman,8,0,1,0,0,0
Film technician,8,0,3,0,0,0
Fast-food shop owner,8,0,4,0,0,0
Explorer,8,0,4,0,0,0
Environmental scientist,8,0,4,0,0,0
"Engineer, construction",8,0,5,0,0,0
Electronic engineer,8,0,1,0,0,0
Electro-technician,8,0,1,0,0,0
Data scientist,8,0,6,0,0,0
"Corporal, Nepal Army",8,0,8,0,0,0
Construction,8,0,3,0,0,0
Computer software engineer,8,0,1,0,0,0
"Colonel, Indian Army",8,0,2,0,0,0
"Chinese Mountaineering Association, staff member",8,0,2,0,0,0
Chief operator of a chairlift,8,0,4,0,0,0
CEO of a company,8,0,2,0,0,0
Buddhist monk,8,0,2,0,0,0
Botanist,8,0,1,0,0,0
Army major,8,0,2,0,0,0
Army Lieutenant Colonel,8,0,2,0,0,0
Alpinist & skier,8,0,4,0,0,0
Alpinist & photographer,8,0,5,0,0,0
Alpine guide/builder,8,0,4,0,0,0
Alpine guide & ski patrolman,8,0,4,0,0,0
Alpine guide & rescuer,8,0,3,0,0,0
Alpine guide & outdoor adventure company executive,8,0,3,0,0,0
Alpine guide & geologist,8,0,7,0,0,0
Window cleaner,7,0,1,0,0,0
Warehouse worker,7,0,3,0,0,0
Waitress,7,0,1,0,0,0
Waiter,7,0,2,0,0,0
Travel consultant,7,0,0,0,0,0
Travel agency staff member,7,0,2,0,0,0
Television director,7,0,1,0,0,0
"Teacher, sports",7,0,3,0,0,0
Surveying engineer,7,0,3,0,0,0
"Student, mechanical engineering",7,0,1,0,0,0
Student of mechanical engineering,7,0,1,0,0,0
Student of architecture,7,0,1,0,0,0
Student # aspirant alpine guide,7,0,6,0,0,0
Stock broker,7,0,2,0,0,0
Steel mill worker,7,0,0,0,0,0
Sports therapist,7,0,4,0,0,0
Sport teacher,7,0,4,0,0,0
Software programmer,7,0,4,0,0,0
Ski patrolman,7,0,1,0,0,0
Seaman,7,0,3,0,0,0
Science teacher,7,0,1,0,0,0
Sales assistant,7,0,3,0,0,0
Retired printing company executive,7,0,1,0,0,0
Retired electrician,7,0,1,0,0,0
Retired alpine guide,7,0,0,0,0,0
Real estate investor,7,0,1,0,0,0
Radio technician,7,0,0,0,0,0
RAF aircraft engineer,7,0,2,0,0,0
Professional guide,7,0,0,0,0,0
Professional adventurer,7,0,3,0,0,0
Private entrepreneur,7,0,5,0,0,0
Police official,7,0,0,0,0,0
Police detective,7,0,4,0,0,0
Physician (urologist),7,0,0,0,0,0
Physician (internal medicine),7,0,0,0,0,0
Photographer & alpinist,7,0,2,0,0,0
Philosophy student,7,0,3,0,0,0
Office staff,7,0,2,0,0,0
Music teacher,7,0,5,0,0,0
Middle school teacher,7,0,0,0,0,0
Meteorologist,7,0,2,0,0,0
Medic,7,0,5,0,0,0
Math teacher,7,0,3,0,0,0
